feature	importance
KELB2L	0.0
KMLH5	0.0
TIMSIM	0.0
TDELTAM	0.0
TDTOLD	0.0
TDELTA	0.0
KMALSC	0.0
KTVINF	0.0
KAXIAL	0.0
KSMAWR	0.0
KPRINT	0.0
KDIONG	0.0
KSUMMR	0.0
KCTS	0.0
KTIME	0.0
KMALFU	0.0
KTSCOLD	0.0
KTIMSC	0.0
KSTART	0.0
UMAXDT	0.0
UAVLMO	0.0
PWRHFX	0.0
KSMAW	0.0
KSARW	0.0
KBNETM	0.0
KELB2R	0.0
KELA3U	0.0
KEB4U	0.0
KELA5L	0.0
KEB4L	0.0
KEB2R	0.0
KEB2L	0.0
KEA02	0.0
KEF1L	0.0
KEF1R	0.0
KEC1R	0.0
KEC1L	0.0
KEB1R	0.0
KEB1L	0.0
KELG8	0.0
KELH3	0.0
KELG3	0.0
KELF3	0.0
KELG1U	0.0
KELG1L	0.0
KELE1R	0.0
KELE1L	0.0
KELD1R	0.0
KELD1L	0.0
KELC1R	0.0
KELC1L	0.0
KELA1	0.0
K3LA4	0.0
KELA5U	0.0
KED38U	0.0
KERH1	0.0
ZINST98	0.0
ZINST23	0.0
ZINST20	0.0
ZINST19	0.0
ZINST18	0.0
ZINST17	0.0
ZINST16	0.0
ZINST14	0.0
KLAMPO91	0.0
ZINST6	0.0
ZINST5	0.0
ZINST3	0.0
K3C20	0.0
K3K11	0.0
KFANCL	0.0
KRELSE	0.0
K3J38	0.0
K3H38	0.0
K3G38	0.0
K3J37	0.0
K3H37	0.0
K3G37	0.0
K3G23U	0.0
K3G23L	0.0
K3A21	0.0
K3J24	0.0
K3K20	0.0
ZINST21	0.0
ZINST24	0.0
K3F14	0.0
ZINST25	0.0
ZINST97	0.0
ZINST90	0.0
ZINST89	0.0
ZINST88	0.0
ZINST83	0.0
ZINST74	0.0
ZINST73	0.0
ZINST66	0.0
ZINST65	0.0
ZINST63	0.0
ZINST58	0.0
ZINST48	0.0
ZINST47	0.0
ZINST45.1	0.0
ZINST42	0.0
ZINST39	0.0
ZINST37	0.0
ZINST34	0.0
ZINST33	0.0
ZINST32	0.0
ZINST31	0.0
ZINST30	0.0
ZINST29	0.0
ZINST27	0.0
ZINST26	0.0
K3J15	0.0
K3D09	0.0
KERG4L	0.0
KLF30	0.0
KLH28L	0.0
KLG23U	0.0
KLG23L	0.0
KLH27	0.0
KLJ24	0.0
KLA21	0.0
KLK20	0.0
KLA18	0.0
KLJ15	0.0
KLF15	0.0
KLF14	0.0
KLJ13	0.0
KLD09	0.0
KLJ07	0.0
KLC06	0.0
KLB6U	0.0
KLB6L	0.0
KLK04	0.0
KLJ02	0.0
KLF02	0.0
KLE02	0.0
KLK01	0.0
KLJ1R	0.0
KLJ1L	0.0
KERG4R	0.0
KLH28R	0.0
KLD29	0.0
K3H08	0.0
KLE34	0.0
K3G08	0.0
K3J07	0.0
K3H07	0.0
K3G07	0.0
K3C03	0.0
KLRG7	0.0
KLRE7R	0.0
KLRE7L	0.0
KLRF1	0.0
KLRE6L	0.0
KLRE6U	0.0
KLRE5L	0.0
KLRE5U	0.0
KLRE4R	0.0
KLRE4L	0.0
KLRH3	0.0
KLRE3	0.0
KLRE2	0.0
KLRG2	0.0
